"articles/title","articles/body"
"Как убедиться в подлинности прошивки Tangem?","<p>В технологии карт Tangem используется подход «безопасность через неясность». Раскрытие исходного кода сделает аппаратные кошельки уязвимыми. Чтобы доказать, что прошивка Tangem не имеет бэкдоров или ошибок, которые могут привести к потере средств, Tangem наняла известного независимого аудитора безопасности Kudelski Security. Результаты проверки доступны <a class=""notion-link-token notion-enable-hover"" href=""https://research.kudelskisecurity.com/2018/08/06/audit-of-tangems-smartcard-wallet-code/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-287951818"">здесь</span></a>.</p>"
"Возможно ли обновить прошивку карты?","<p>Ради обеспечения безопасности пользователя карта прошивается один раз и больше не обновляется. Это исключает риск установки вредоносного ПО (программного обеспечения) и возможную кражу средств. Возможность обновления ПО аппаратного кошелька, говорит о том, что вы должны доверять производителю кошелька и надеяться на то, что в какой-то момент вам не придет обновление, которое скомпрометирует ваши ключи.</p>
<p>В случае c Tangem, карта прошивается только один раз, а прошивка прошла аудит независимой швейцарской компании Kudelski Security. Более того, карта может доказать, что на ней стоит именно та прошивка, которая проходила аудит. Это одна из уникальных функций кошелька, которая делает Tangem самым безопасным и доверенным кошельком в мире.</p>"
"Где посмотреть историю транзакций?","<p>Ознакомиться со списком проведенных транзакций можно через Explorer. Для этого необходимо войти в кошелек в приложении Tangem, нажать на главном экране на необходимую вам валюту и выбрать «‎История транзакций».</p>"
"Как перевести криптовалюту с биржи/кошелька на Tangem?","<p>Вы можете перевести на адрес вашего кошелька только ту криптовалюту, которая поддерживается приложением Tangem. Для этого нужно сгенерировать адрес получателя в приложении Tangem.</p>
<p>Что нужно сделать:</p>
<p>1. Открыть приложение Tangem, отсканировав карту.</p>
<p>2. Нажать кнопку «‎Управление токенами».</p>
<p>3. В списке токенов найти необходимую вам криптовалюту с помощью строки поиска.</p>
<p>4. Справа от названия криптовалюты — стрелка, нажмите на нее и раскроется список доступных сетей.</p>
<p>5. Включите переключатель нужной вам сети и нажмите «‎Сохранить изменения». Здесь может понадобиться повторное сканирование карты.</p>
<p>6. После того, как токен добавлен на главный экран, нажмите на него, увидите публичный адрес, а ниже кнопка «‎Копировать».</p>
<p>Обратите внимание, что сеть, которую вы выбираете для токена в пункте 5, должна совпадать с сетью перевода, которую выбираете на бирже при отправке средств.</p>"
"Какую сеть выбрать при переводе криптовалюты в кошелек?","<p>Вы можете перевести на адрес вашего кошелька только ту криптовалюту, которая поддерживается приложением Tangem. Полный список поддерживаемых криптовалют можно увидеть в разделе «‎Управление токенами» приложения Tangem. Здесь в списке токенов вы можете найти необходимую вам криптовалюту с помощью строки поиска. Далее, справа от названия криптовалюты — стрелка, нажмите на нее и раскроется список доступных сетей для выбранного вами токена. Вы можете использовать любую из перечисленных сетей. Обратите внимание, что сеть, которую выбираете для токена, должна совпадать с сетью перевода, которую выбираете на бирже при отправке средств.</p>"
"Почему я отправил деньги на кошелек, но они не пришли?","<p>Для каждого из поддерживаемых блокчейнов (сетей), чип Tangem создает уникальный адрес. Но многие популярные токены существуют в нескольких сетях. Из-за этого пользователи иногда путают адреса и отправляют токены одной сети на адрес из другой сети, из-за чего их не видно на балансе.</p>
<p>В мобильном приложении Tangem есть возможность получить доступ к таким токенам. Достаточно просто задать собственный токен с нужным адресом. О том, как это сделать, читайте в инструкции по <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/kak-vosstanovit-tokeny-otpravlennye-ne-na-tot-adres-v-tangem-wallet"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--1427583390"">ссылке</span></a>.</p>"
"Как перевести криптовалюту, если в кошельке нужная сеть не поддерживается?","<p>Если в списке токенов раздела «‎Управление токенами» вы не нашли нужный токен, вы можете воспользоваться функцией самостоятельного добавления токена в кошелек.</p>
<p><em><span class=""notion-enable-hover"" data-token-index=""1"">Эта функция доступна для следующих блокчейнов (сетей): Arbitrum, Avalanche C-Chain, BNB Beacon Chain, BNB Smart Chain, Ethereum, Ethereum Classic, Ethereum Fair, Ethereum PoW, Fantom Opera, Gnosis Chain, Optimistic Ethereum, Polygon, RSK, Solana, Tron, Kava EVM, Cronos. Если необходимой сети/токена нет ни в разделе «Управление токенами», ни в вышеперечисленном списке, то данный токен/сеть пока не поддерживается кошельком и его перевод в кошелек невозможен.</span> </em></p>
<p>Чтобы создать пользовательский токен, в приложении выберите раздел «Управление токенами» и нажмите на иконку «+» в правом верхнем углу списка токенов. Чтобы добавить токен, вам необходимы следующие данные:</p>
<p>1. Адрес смарт-контракта токена. Адрес, как правило, можно найти на coinmarketcap.com, coingecko.com или в Explorer (обозревателе) соответствующего блокчейна.</p>
<p>2. Сеть токена. Приложение Tangem предлагает следующие сети: Arbitrum, Avalanche C-Chain, BNB Beacon Chain, BNB Smart Chain, Ethereum, Ethereum Classic, Ethereum Fair, Ethereum PoW, Fantom Opera, Gnosis Chain, Optimistic Ethereum, Polygon, RSK, Solana, Tron, Kava EVM, Cronos.</p>
<p>3. Название токена (например, Bitcoin) и символ токена (например, BTC).</p>
<p>4. Количество знаков после запятой (Decimals). Этот параметр определяет, на какое значение можно разбить один токен для проведения операций. Данное значение можно найти в карточке токена в Explorer соответствующего блокчейна.</p>
<p>5. Деривация по BIP44. Для этой операции, как правило, выбирается «По умолчанию».</p>
<p> </p>
<p>Например, чтобы добавить токен BinaryX (BNX) в сети BNB Smart Chain, вам необходимо заполнять поля следующим образом:</p>
<p>1. Адрес контракта: 0x8C851d1a123Ff703BD1f9dabe631b69902Df5f97</p>
<p>Вы можете увидеть этот адрес контракта в разделе «Контракты» по <a class=""notion-link-token notion-enable-hover"" href=""https://coinmarketcap.com/ru/currencies/binaryx/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id-189223762"">ссылке</span></a>.</p>
<p>2. Сеть: BNB Smart Chain.</p>
<p>3. Название токена: BinaryX.</p>
<p>4. Символ токена: BNX.</p>
<p>5. Знаков после запятой: 18.</p>
<p>Вы можете увидеть количество знаков после запятой в карточке токена в Explorer по <a class=""notion-link-token notion-enable-hover"" href=""https://bscscan.com/token/0x8C851d1a123Ff703BD1f9dabe631b69902Df5f97"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id--369757370"">ссылке</span></a>.</p>
<p>6. Деривация по BIP44: По умолчанию.</p>
<p>Подробная инструкция также доступна в нашем <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/blog/post/how-to-add-tokens-to-tangem-app/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-54186556"">блоге</span></a>.</p>"
"Перевел XRP в кошелек, но пришло на 10 XRP меньше, почему? Перевел XLM в кошелек, но пришло на 1 XLM меньше, почему?","<p>В блокчейнах XRPL и Stellar существует понятие аккаунта. Для открытия аккаунта в XRPL достаточно пополнить счёт минимум на 10 XRP, в Stellar — на 1 XLM. При открытии аккаунта эти средства резервируются и остаются недоступными для вывода. Например, вы пополняете адрес XRPL на 30 XRP. 10 XRP будет зарезервировано для создания аккаунта, на балансе будет отображаться 20 XRP, которые уже можно тратить.</p>"
"Что означает “Аккаунт не создан” в кошельке XRPL/Stellar?","<p>В блокчейнах XRPL и Stellar существует понятие аккаунта. Для открытия аккаунта в XRPL достаточно пополнить счёт минимум на 10 XRP, в Stellar — на 1 XLM. При открытии аккаунта эти средства резервируются и остаются недоступными для вывода. Например, вы пополняете адрес XRPL на 30 XRP. 10 XRP будет зарезервировано для создания аккаунта, на балансе будет отображаться 20 XRP, которые уже можно тратить.</p>"
"Какой Тег/Memo указывать при переводе монет XRP/XLM/ATOM/TON/LUNA/LUNC в кошелек Tangem?","<p>Тег назначения/Memo/Message/Destination tag — это дополнительное адресное значение в числовом и/или строчном виде. Оно позволяет идентифицировать получателя перевода XRP/XLM/ATOM/TON/LUNA/LUNC на централизованной бирже (например, Binance, Coinbase).</p>
<p>При отправке монет XRP/XLM/ATOM/TON/LUNA/LUNC с биржи на кошелек Tangem Wallet указывать тег назначения не нужно. Поскольку именно вы контролируете данный адрес, монеты автоматически отобразятся в вашем кошельке Tangem Wallet.</p>
<p>При этом на некоторых биржах по-прежнему предлагается указать тег при выводе монет. В таком случае можно указать любое значение тега — например, любую цифру или число. При этом никакой из этих номеров не пригодится для получения ваших монет.</p>"
"Почему с биржи я вывожу ETH, а зачисляется WETH?","<p>WETH (Wrapped Ethereum) — это монеты ETH не в своей родной сети. Так, если вы отправляете ETH в любой другой сети, кроме Ethereum, в кошельке Tangem Wallet токены будут отображаться как WETH.</p>"
"Как узнать адрес своего кошелька?","<p>Чтобы узнать адрес, вам необходимо:</p>
<p>1. Открыть приложение Tangem, отсканировав карту.</p>
<p>2. Нажать кнопку «‎Управление токенами».</p>
<p>3. В списке токенов найти необходимую вам криптовалюту с помощью строки поиска.</p>
<p>4. Справа от названия криптовалюты — стрелка, нажмите на нее и раскроется список доступных сетей.</p>
<p>5. Включите переключатель нужной вам сети и нажмите «‎Сохранить изменения». Здесь может понадобиться повторное сканирование карты.</p>
<p>6. После того, как токен добавлен на главный экран, нажмите на него и увидите публичный адрес.</p>"
"Адрес кошелька остается один и тот же на все время пользования? Можно ли создавать несколько адресов для одного токена?","<p>Да, адреса кошельков всех криптовалют остаются прежними. Публичный и приватный ключи меняются только при сбросе карты к заводским настройкам и создании нового кошелька.</p>"
"Почему адреса разных токенов одинаковые?","<p>Адреса токенов в одной сети, а также адреса на всех EVM-совместимых блокчейнах одинаковые для удобства перевода средств.</p>"
"Какая комиссия взимается при переводе средств?","<p>Tangem не взимает комиссию при переводе средств. Взимается только комиссия сети (блокчейна), в которой вы осуществляете перевод.</p>
<p>Это комиссия за транзакции, которая выплачивается майнерам или валидаторам. Размер комиссии зависит от используемой сети. Например, транзакция в сети Bitcoin будет иметь другую комиссию по сравнению с транзакциями в сети Bitcoin Cash, Ethereum или Litecoin. Размер комиссии может колебаться в зависимости от рыночного спроса и пропускной способности сети.</p>"
"Как выбрать комиссию сети?","<p>Установленная сетевая комиссия определяет приоритет вашего перевода в очереди неподтверждённых транзакций. Майнеры выбирают для включения в блок первыми те транзакции, за которые предлагают более высокую комиссию. Чем выше комиссия — тем быстрее будет обработана транзакция. Если скорость не принципиальна, можно установить более низкую комиссию и сэкономить.</p>
<p>Tangem предлагает три уровня комиссий в зависимости от актуальной загрузки сети: низкая, нормальная, приоритетная.</p>"
"Как узнать комиссию сети при переводе того или иного токена?","<p>Размер комиссии указывается в окне отправки токена. Введите адрес назначения и сумму перевода — и у вас отобразится размер комиссии сети.</p>"
"Почему кнопка «Отправить» неактивна?","<p>Комиссия сети всегда оплачивается в нативной монете сети, в которой осуществляете перевод. Например, в случае токенов в сети BNB Smart Chain (BEP20) комиссия взимается в BNB, в сети Tron — в TRX и т. д. В данной ситуации необходимо проверить наличие нативной валюты на балансе для оплаты комиссии.</p>"
"Что значит арендная плата в сети Solana?","<p>Это тип комиссии, который существует на стороне блокчейна Solana. Сеть Solana взимает арендную плату в размере 0,000002439 SOL каждые 2 дня. Аккаунты, которые не могут позволить себе арендную плату, удаляются из сети. Пополните свой счет более чем на 0,00089088 SOL, чтобы не платить арендную плату.</p>"
"Как купить криптовалюту? Как пополнить кошелек Tangem с банковской карты?","<p>В мобильном приложении Tangem есть возможность купить криптовалюту напрямую с банковской карты через интегрированный сервис Mercuryo. Для этого, вам необходимо открыть приложение Tangem, отсканировав карту и введя код доступа. Далее, на главном экране выбрать нужную криптовалюту и нажать кнопку «Купить» (или «Действия», а потом «Купить»). После чего, вас перенаправит на сервис Mercuryo. С подробной пошаговой инструкцией по покупке криптовалюты с банковской карты через Mercuryo можно ознакомиться по <a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/4359840-how-to-buy-crypto-with-mercuryo-widget"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--2023334661"">ссылке</span></a>. <br>C условиями покупки (<a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/6121246-which-fiat-currencies-are-supported"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id-1642128138"">доступными фиатными валютами</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/6121222-which-cryptocurrencies-do-you-support"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id-118166870"">поддерживаемыми криптовалютами, </span></a><a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/7234953-what-s-the-minimum-amount-of-crypto-purchase-or-transfer-to-the-card-and-external-blockchain-address-from-the-mercuryo-wallet"" rel=""noopener noreferrer"" data-token-index=""6""><span class=""link-annotation-unknown-block-id--1520832988"">минимальной суммой покупки</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/7234635-what-is-your-commission"" rel=""noopener noreferrer"" data-token-index=""8""><span class=""link-annotation-unknown-block-id-1951081113"">комиссией</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/7234951-what-are-the-limits-for-a-verified-user"" rel=""noopener noreferrer"" data-token-index=""10""><span class=""link-annotation-unknown-block-id--494013068"">лимитами</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/6121299-what-types-of-bank-cards-does-mercuryo-support"" rel=""noopener noreferrer"" data-token-index=""12""><span class=""link-annotation-unknown-block-id-381196646"">способами оплаты</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/7234595-can-anyone-use-mercuryo"" rel=""noopener noreferrer"" data-token-index=""14""><span class=""link-annotation-unknown-block-id--77870977"">обсуживающими странами</span></a>) можно ознакомиться на сайте Mercuryo.</p>
<p>Обратите внимание, что данный способ недоступен для карт, выпущенных российскими банками. Поэтому мы подготовили пошаговую <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/kak-kupit-kriptovalyutu-na-koshelek-tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id-816903636"">инструкцию</span></a>, как пополнить кошелек с карты российского банка.</p>"
"Почему на некоторых токенах неактивна кнопка «Купить»?","<p>Покупка криптовалюты в приложении Tangem осуществляется через партнерский сервис Mercuryo. Криптовалюты, доступные для покупки через данный сервис, представлены на сайте Mercuryo по <a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/6121222-which-cryptocurrencies-do-you-support"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-118166870"">ссылке</span></a>. Чтобы купить криптовалюту, отсутствующую в списке, вы можете воспользоваться пошаговой инструкцией по следующей <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/kak-kupit-kriptovalyutu-na-koshelek-tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id-816903636"">ссылке</span></a>.</p>"
"Какая комиссия при покупке криптовалюты с банковской карты?","<p>Покупка криптовалюты в приложении Tangem осуществляется через партнерский сервис Mercuryo. Cоответственно, размер комиссии устанавливается сервисом Mercuryo, а не Tangem. О комиссиях Mercuryo можно узнать по <a class=""notion-link-token notion-enable-hover"" href=""https://help.mercuryo.io/en/articles/7234635-what-is-your-commission"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-1951081113"">ссылке</span></a>.</p>"
"Почему я не могу отправить транзакцию?","<p>Если при отправке криптовалюты с кошелька Tangem вы сталкиваетесь с ошибкой, необходимо отправить запрос в приложении в соответствующем окне «Не могу отправить транзакцию», нажав на кнопку «Обратиться в поддержку».</p>"
"Как отправить криптовалюту с кошелька Tangem?","<p>Вы можете отправлять криптовалюту со своего кошелька в приложении Tangem на нужный адрес получателя.</p>
<p>Для этого:</p>
<p>1. Откройте приложение Tangem, отсканировав карту и введя код доступа.</p>
<p>2. На главном экране выберите криптовалюту, которую желаете отправить.</p>
<p>3. Нажмите «Отправить».</p>
<p>4. В окне отправки укажите адрес получателя. Обязательно сверяйте копируемый и вставляемый адреса.</p>
<p>5. Укажите количество токенов или их долларовый эквивалент. Вы также можете отправить весь объем токенов. Для этого выберите опцию «Максимальная сумма».</p>
<p>6. В строке «Сетевая комиссия» можете изменить уровень комиссии. По умолчанию устанавливается «Нормальная».</p>
<p>7. Проверьте все вводные данные, прежде чем нажимать «Отправить».</p>
<p>8. Чтобы подписать транзакцию, отсканируйте карту, введите код доступа и снова отсканируйте карту.</p>
<p>Теперь транзакция успешно подписана и отправлена в блокчейн. Баланс будет обновлен через некоторое время.</p>
<p>Вы можете отслеживать статус транзакции через Explorer (обозреватель). Для этого необходимо в приложении Tangem зайти в карточку кошелька, нажав на главном экране на необходимую вам валюту, и выбрать «История транзакций».</p>"
"Как продать криптовалюту? Можно ли выводить средства с Tangem на банковскую карту?","<p>В мобильном приложении Tangem есть возможность продать криптовалюту напрямую на банковскую карту через интегрированный сервис MoonPay. Для этого, вам необходимо открыть приложение Tangem, отсканировав карту и введя код доступа. Далее, на главном экране выбрать нужную криптовалюту и нажать на кнопку «Действия», а потом «Продать». После чего, вас перенаправит на сервис MoonPay. С подробной пошаговой инструкцией по продаже криптовалюты через MoonPay можно ознакомиться по <a class=""notion-link-token notion-enable-hover"" href=""https://support.moonpay.com/hc/en-gb/articles/360013833858-How-can-I-sell-cryptocurrency-using-MoonPay-"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--810174943"">ссылке</span></a>. C условиями продажи (доступными криптовалютами, обсуживающими странами, комиссией, минимальной суммой продажи) можно ознакомиться на сайте MoonPay по <a class=""notion-link-token notion-enable-hover"" href=""https://support.moonpay.com/hc/en-gb/sections/360003995378-Selling-Cryptocurrency-"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id-1265247062"">ссылке</span></a>.</p>
<p>Обратите внимание, что данный способ недоступен для карт, выпущенных российскими банками. Поэтому мы подготовили пошаговую <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/kak-prodat-kriptovalyutu-s-koshelka-tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id--325391979"">инструкцию</span></a>, как продать криптовалюту на карту российского банка.</p>"
"Какая разница между адресами «устаревший» и «по умолчанию»?","<p>Существует 2 типа адресов кошельков: Segwit и Legacy. Segwit в приложении Tangem отображается как «по умолчанию», Legacy — как «устаревший». При использовании адреса Segwit удерживается комиссия примерно на 30–40% меньше, чем у Legacy, а также скорость обработки транзакций выше. Мы предлагаем два типа адресов в приложении, поскольку не все биржи поддерживают Segwit адреса.</p>
<p>Вы можете осуществлять перевод средств, используя любой из этих адресов.</p>"
"Как долго обрабатывается транзакция?","<p>Время обработки транзакции зависит не от кошелька, а от блокчейна (сети), в котором была проведена транзакция. На скорость обработки транзакций в сети влияет загруженность этой сети.</p>"
"Почему у меня не сканируется карта?","<p>Если вы используете устройство iOS, вам необходимо прикладывать карту к верхней части iPhone и удерживать некоторое время, пока карта не будет отсканирована. Когда нажимаете на кнопку «Сканировать», анимация показывает вам, как правильно прикладывать карту к телефону. В некоторых случаях может понадобиться перезагрузить ваше мобильное устройство.</p>
<p>Если вы используете устройство Android, советуем обратить внимание на следующие моменты при сканировании карты:</p>
<p>1. Убедитесь, что NFC-модуль включен на устройстве, а также для приложения Tangem.</p>
<p>2. Снимите чехол с мобильного устройства, так как он может мешать работе NFC-модуля.</p>
<p>3. Расположение модуля NFC на мобильных устройствах Android может быть разное, в зависимости от модели устройства. Поэтому вам необходимо определить точное расположение NFC-модуля на вашем телефоне. Это можно сделать через кнопку «Помощь», которая расположена в окне сканирования карты.</p>
<p>4. Затем при сканировании рекомендуем держать карту у мобильного устройства немного дольше, так как иногда NFC-модуль на устройствах Android реагирует дольше обычного.</p>
<p>5. Убирайте карту во время ввода кода доступа и прикладывайте ее обратно к телефону, когда окно сканирования уже открыто.</p>
<p>6. В некоторых случаях, мы также советуем перезагрузить мобильное устройство.</p>
<p>Если проблема не решена после выполнения всех шагов, пожалуйста, сообщите нам об этом, отправив запрос через приложение в окне «У Вас возникли трудности со сканированием карты?», дважды нажав «Отменить» при сканировании.</p>"
"Как создать кошелек Tangem Wallet 2.0 без seed-фразы?","<p><span class=""notion-enable-hover"" data-token-index=""0"">Чтобы начать работу с Tangem Wallet, вам понадобится мобильное устройство с поддержкой NFC и официальное приложение Tangem. Вы можете скачать приложение Tangem в </span><a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://apps.apple.com/us/app/tangem/id1354868448"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--546296117"">App Store</span></a><span class=""notion-enable-hover"" data-token-index=""2""> и </span><a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://play.google.com/store/apps/details?id=com.tangem.wallet&amp;hl=en_US&amp;gl=US"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--1435375437"">Google Play</span></a><span class=""notion-enable-hover"" data-token-index=""4"">. Вы также можете приложить карту к NFC-модулю вашего телефона, и вам будет предложено загрузить приложение из магазина.<br><br>Для создания кошелька Tangem Wallet без seed-фразы следуйте инструкции: <br>1. Откройте приложение Tangem. <br>2. Нажмите на кнопку «Сканировать» и отсканируйте карту, приложив ее близко к устройству. <br>3. Выберите «Создать кошелек» и снова отсканируйте карту. В этот момент были сгенерированы ключи и создан кошелек. <br><br>После этого, кошелек предложит вам создать бэкап (резервную копию). Вы можете сделать резервную копию своих ключей на одной или двух других пустых картах Tangem Wallet. Однако, если вы добавите одну резервную карту сейчас, вы не сможете добавить больше резервных карт позже. Чтобы начать процесс резервного копирования: <br>1. Выберите «Создать резервную копию». <br>2. Нажмите «Добавить резервную карту». <br>3. Отсканируйте резервную карту, поместив ее рядом с устройством. <br>Если на резервной карте уже создан кошелек, приложение предложит сбросить карту и продолжить создание бэкапа. Для создания бэкапа вы можете использовать только пустые карты Tangem Wallet. <br>Не сбрасывайте карту, если на ней есть средства, иначе вы ее потеряете. <br>4. Вы можете добавить еще одну карту, если она у вас есть, или завершить процесс. Чтобы привязать третью карту, нажмите «Добавить резервную карту» и отсканируйте карту. <br>5. Нажмите «Завершение бэкапа». <br><br>Далее необходимо установить единый код доступа для защиты всех ваших карт. <br>1. Нажмите кнопку «Продолжить» и введите код доступа. В качестве кода доступа можно выбрать любое слово, фразу или число. Позже вы сможете установить индивидуальный код доступа для каждой карты. <br>2. Нажмите «Продолжить», повторно введите код доступа и нажмите кнопку «Отправить». <br>3. Снова просканируйте поочередно все карты.</span></p>"
"Как создать кошелек Tangem Wallet 2.0 с seed-фразой?","<p><span class=""notion-enable-hover"" data-token-index=""0"">Чтобы начать работу с Tangem Wallet, вам понадобится мобильное устройство с поддержкой NFC и официальное приложение Tangem. Вы можете скачать приложение Tangem в </span><a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://apps.apple.com/us/app/tangem/id1354868448"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--546296117"">App Store</span></a><span class=""notion-enable-hover"" data-token-index=""2""> и </span><a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://play.google.com/store/apps/details?id=com.tangem.wallet&amp;hl=en_US&amp;gl=US"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--1435375437"">Google Play</span></a><span class=""notion-enable-hover"" data-token-index=""4"">. Вы также можете приложить карту к NFC-модулю вашего телефона, и вам будет предложено загрузить приложение из магазина. <br><br>Seed-фраза — это набор слов, который используется для восстановления доступа к кошельку. В отличие от ключей, генерируемых картой, seed-фраза не защищена и может быть скопирована или украдена. Используйте эту опцию на свой страх и риск. <br><br>Для создания кошелька Tangem Wallet с seed-фразой следуйте инструкции: <br>1. Откройте приложение Tangem. <br>2. Нажмите на кнопку «Сканировать» и отсканируйте карту. <br>3. Выберите «Другие опции». <br>4. Выберите «Создать seed-фразу». На экране отобразится ваша seed-фраза. Запишите эти 12 слов в указанном порядке и храните их в надежном и секретном месте. <br>5. Нажмите «Продолжить». Чтобы проверить, правильно ли вы записали seed-фразу, введите слова, которые указаны на экране. <br>6. Нажмите ""Создать кошелек"" и отсканируйте карту.<br><br>После этого, кошелек предложит вам создать бэкап (резервную копию). Вы можете сделать резервную копию своих ключей на одной или двух других пустых картах Tangem Wallet. Однако, если вы добавите одну резервную карту сейчас, вы не сможете добавить больше резервных карт позже. Чтобы начать процесс резервного копирования: <br>1. Выберите «Создать резервную копию». <br>2. Нажмите «Добавить резервную карту». <br>3. Отсканируйте резервную карту, поместив ее рядом с устройством. <br>Если на резервной карте уже создан кошелек, приложение предложит сбросить карту и продолжить создание бэкапа. Для создания бэкапа вы можете использовать только пустые карты Tangem Wallet. <br>Не сбрасывайте карту, если на ней есть средства, иначе вы ее потеряете. <br>4. Вы можете добавить еще одну карту, если она у вас есть, или завершить процесс. Чтобы привязать третью карту, нажмите «Добавить резервную карту» и отсканируйте карту. <br>5. Нажмите «Завершение бэкапа». <br><br>Далее необходимо установить единый код доступа для защиты всех ваших карт. <br>1. Нажмите кнопку «Продолжить» и введите код доступа. В качестве кода доступа можно выбрать любое слово, фразу или число. Позже вы сможете установить индивидуальный код доступа для каждой карты. <br>2. Нажмите «Продолжить», повторно введите код доступа и нажмите кнопку «Отправить». <br>3. Снова просканируйте поочередно все карты.<br></span></p>"
"Как импортировать кошелек в Tangem Wallet 2.0?","<p><span class=""notion-enable-hover"" data-token-index=""0"">Вы можете импортировать свой кошелек в Tangem Wallet 2.0, используя seed-фразу, состоящую из 12, 14, 18, 21 или 24 слов. Для это</span>го <span class=""notion-enable-hover"" data-token-index=""2"">следуйте инструкции: <br>1. Откройте приложение Tangem. <br>2. Нажмите на кнопку «Сканировать» и отсканируйте карту. <br>3. Выберите «Другие опции», далее «Импорт кошелька». <br>4. Для импорта кошелька введите вашу seed-фразу, нажмите «Импортировать» и отсканируйте карту. <br><br>После этого, кошелек предложит вам создать бэкап (резервную копию). Вы можете сделать резервную копию своих ключей на одной или двух других пустых картах Tangem Wallet. Однако, если вы добавите одну резервную карту сейчас, вы не сможете добавить больше резервных карт позже. Чтобы начать процесс резервного копирования: <br>1. Выберите «Создать резервную копию». <br>2. Нажмите «Добавить резервную карту». <br>3. Отсканируйте резервную карту, поместив ее рядом с устройством. <br>Если на резервной карте уже создан кошелек, приложение предложит сбросить карту и продолжить создание бэкапа. Для создания бэкапа вы можете использовать только пустые карты Tangem Wallet. <br>Не сбрасывайте карту, если на ней есть средства, иначе вы ее потеряете. <br>4. Вы можете добавить еще одну карту, если она у вас есть, или завершить процесс. Чтобы привязать третью карту, нажмите «Добавить резервную карту» и отсканируйте карту. <br>5. Нажмите «Завершение бэкапа». <br><br>Далее необходимо установить единый код доступа для защиты всех ваших карт. <br>1. Нажмите кнопку «Продолжить» и введите код доступа. В качестве кода доступа можно выбрать любое слово, фразу или число. Позже вы сможете установить индивидуальный код доступа для каждой карты. <br>2. Нажмите «Продолжить», повторно введите код доступа и нажмите кнопку «Отправить». <br>3. Снова просканируйте поочередно все карты.<br></span></p>"
